

    1.Математич.анализ  ;ИМИ ; 1; 43; 2;05140 05540                   ; 54; 4; 72;144;   ;    ; 11; 22;   ; 14; 11;     ;   ; 249  

    2.Математич.анализ  ;ИМИ ; 1; 65; 2;05240 05440                   ; 54; 4; 54; 54;   ;    ; 11; 22;   ; 21; 17;     ;   ; 172  

    3.Математич.анализ  ;ИМИ ; 1; 31; 1;05440                         ;   ;  ; 36; 36;   ;    ;   ;   ;   ;   ;   ;     ;   ;  36  
 
    4.Математич.анализ  ;ИМИ ; 1; 16; 1;05340                         ; 18; 2; 54; 54;   ;    ;  4;  4;   ;  5;  4;     ;   ;  87  

    5.Алгебра           ;ИМИ ; 1; 43; 2;05140 05540                   ; 36; 4; 36; 72;   ;    ;  7; 14;   ; 14;   ;     ;   ; 140  

    6.Алгебра           ;ИМИ ; 1; 34; 1;05240                         ; 36; 2; 36; 36;   ;    ;  7;  7;   ; 11;   ;     ;   ;  92  

    7.Алгебра           ;ИМИ ; 1; 16; 1;05340                         ; 36; 2; 54; 54;   ;    ;  7;  7;   ;  5;   ;     ;   ; 104  

    8.Мат.логика        ;ИМИ ; 1; 43; 2;05140 05540                   ; 36; 4; 36; 72;   ;    ;  7; 14;   ; 14;   ;     ;   ; 140  
                                                                                                             
    9.Мат.логика        ;ИМИ ; 1; 31; 1;05440                         ; 36;  ; 18; 18;   ;    ;  7;  7;   ;   ;  8;     ;   ;  69  

   10.Олимпиад.задачи   ;ИМИ ; 1; 34; 1;05240                         ;   ;  ; 36; 36;   ;    ;   ;   ;   ;   ;   ;     ;   ;  36  

   11.Алг.и теор.чисел  ;ИМИ ; 1; 31; 1;05440                         ; 36; 2; 54; 54;   ;    ;  7;  7;   ; 10;   ;     ;   ; 109  

   12.ЕГЭ по математ.   ;ИМИ ; 1; 11; 1;05142м                        ; 14; 2; 14; 14;   ;    ;  3;  3;   ;  4;   ;     ;   ;  37  

   13.Мет.мат.моделир.  ;ИМИ ; 1; 11; 1;05142м                        ; 14;  ; 14; 14;   ;    ;  3;  3;   ;   ;  3;     ;   ;  34  

   14.Профил.обуч.мат.  ;ИМИ ; 1; 11; 1;05142м                        ;   ; 2; 28; 28;   ;    ;   ;   ;   ;  4;   ;     ;   ;  34  

   15.Математич.анализ  ;ИМИ ; 2; 30; 2;05130 05530                   ; 54; 2; 54; 54;   ;    ; 11; 11;   ; 10;  8;     ;   ; 139  

   16.Дифф.уравнения    ;ИМИ ; 2; 22; 2;05130 05530                   ; 36; 4;   ;   ;   ;    ;  7; 14;   ;  8;  6;     ;   ;  68  

   17.Дискр.математика  ;ИМИ ; 2; 23; 1;05430                         ; 36; 2; 36; 36;   ;    ;  7;  7;   ;  8;   ;     ;   ;  89  

   18.Диф.уравнения пр  ;ИМИ ; 2; 30; 2;05130 05530                   ;   ;  ; 36; 36;   ;    ;   ;   ;   ;   ;   ;     ;   ;  36  

   19.Комплексн.анализ  ;ИМИ ; 2; 15; 1;05230                         ; 36; 2; 36; 36;   ;    ;  7;  7;   ;  5;   ;     ;   ;  86  

   20.Дифф.уравнения    ;ИМИ ; 3; 47; 2;05421 05321                   ; 36; 4; 36; 36;   ;    ;  7; 14;   ; 15;   ;     ;   ; 105  

   21.Дифф.уравнения    ;ИМИ ; 3; 25; 1;05321                         ;   ;  ; 18; 18;   ;    ;   ;   ;   ;   ;   ;     ;   ;  18  

   22.Функцион.анализ   ;ИМИ ; 3; 46; 4;05120 05221 05421 05520       ; 36; 6;   ;   ;   ;    ;  7; 28;   ;  8;  6;     ;   ;  84  

   23.АналТеорияДифУр   ;ИМИ ; 3;  8; 1;05520                         ; 36; 2; 36; 36;   ;    ;  7;  7;   ;  3;   ;     ;   ;  84  

   24.Элемент.алгебра   ;ИМИ ; 3;  3; 1;05120                         ; 18;  ; 36; 36;   ;    ;  4;  4;   ;   ;  1;     ;   ;  59  

   25.Комп.алгебра      ;ИМИ ; 3; 13; 1;05221                         ; 18;  ;   ;   ; 36;  36;  4;  4;   ;   ;  3;     ;   ;  61  

